match_id,difficulty_level,shots,goals,saves,power_shot_count,accuracy
1,Normal,10,2,8,2,0.2
2,Normal,10,4,6,5,0.4
3,Normal,10,5,5,5,0.5
4,Easy,10,8,2,1,0.8
5,Easy,10,8,2,0,0.8
6,Normal,10,5,5,1,0.5
7,Normal,10,6,4,2,0.6
8,Hard,10,4,6,2,0.4
9,Easy,10,5,5,2,0.5
10,Easy,10,4,6,0,0.4
11,Hard,10,1,9,3,0.1
12,Easy,10,6,4,3,0.6
13,Hard,10,2,8,2,0.2
14,Hard,10,4,6,6,0.4
15,Normal,10,2,8,3,0.2
16,Easy,10,8,2,3,0.8
17,Easy,10,8,2,0,0.8
18,Easy,10,7,3,3,0.7
19,Easy,10,6,4,3,0.6
20,Easy,10,7,3,0,0.7
21,Normal,10,6,4,5,0.6
22,Normal,10,4,6,4,0.4
23,Normal,10,3,7,2,0.3
24,Easy,10,4,6,3,0.4
25,Easy,10,5,5,2,0.5
26,Hard,10,0,10,2,0
27,Hard,10,1,9,4,0.1
28,Easy,10,4,6,3,0.4
29,Normal,10,4,6,5,0.4
30,Easy,10,8,2,3,0.8
31,Normal,10,6,4,1,0.6
32,Easy,10,8,2,1,0.8
33,Normal,10,2,8,1,0.2
34,Easy,10,5,5,2,0.5
35,Hard,10,3,7,3,0.3
36,Normal,10,5,5,5,0.5
37,Normal,10,4,6,2,0.4
38,Normal,10,3,7,5,0.3
39,Easy,10,5,5,1,0.5
40,Normal,10,3,7,4,0.3
41,Normal,10,2,8,2,0.2
42,Hard,10,0,10,4,0
43,Easy,10,4,6,1,0.4
44,Easy,10,4,6,0,0.4
45,Normal,10,4,6,2,0.4
46,Easy,10,7,3,3,0.7
47,Normal,10,6,4,4,0.6
48,Easy,10,6,4,0,0.6
49,Easy,10,4,6,0,0.4
50,Hard,10,2,8,4,0.2
51,Normal,10,5,5,5,0.5
52,Normal,10,2,8,2,0.2
53,Hard,10,0,10,2,0
54,Hard,10,0,10,6,0
55,Hard,10,3,7,3,0.3
56,Normal,10,5,5,1,0.5
57,Normal,10,2,8,1,0.2
58,Easy,10,5,5,0,0.5
59,Normal,10,6,4,5,0.6
60,Normal,10,4,6,3,0.4
61,Easy,10,8,2,2,0.8
62,Easy,10,5,5,0,0.5
63,Hard,10,2,8,5,0.2
64,Normal,10,2,8,3,0.2
65,Easy,10,5,5,3,0.5
66,Easy,10,8,2,3,0.8
67,Normal,10,3,7,3,0.3
68,Normal,10,4,6,4,0.4
69,Normal,10,6,4,1,0.6
70,Normal,10,4,6,1,0.4
71,Easy,10,7,3,3,0.7
72,Easy,10,6,4,1,0.6
73,Hard,10,4,6,5,0.4
74,Normal,10,4,6,2,0.4
75,Easy,10,6,4,0,0.6
76,Normal,10,2,8,1,0.2
77,Easy,10,5,5,2,0.5
78,Easy,10,7,3,2,0.7
79,Easy,10,6,4,3,0.6
80,Hard,10,1,9,6,0.1
81,Hard,10,0,10,2,0
82,Easy,10,7,3,2,0.7
83,Easy,10,7,3,1,0.7
84,Hard,10,1,9,4,0.1
85,Normal,10,6,4,3,0.6
86,Hard,10,3,7,3,0.3
87,Easy,10,7,3,2,0.7
88,Normal,10,2,8,4,0.2
89,Hard,10,0,10,2,0
90,Hard,10,3,7,6,0.3
91,Easy,10,8,2,0,0.8
92,Easy,10,7,3,1,0.7
93,Easy,10,5,5,1,0.5
94,Normal,10,2,8,1,0.2
95,Easy,10,8,2,0,0.8
96,Normal,10,3,7,3,0.3
97,Hard,10,2,8,4,0.2
98,Easy,10,7,3,3,0.7
99,Hard,10,0,10,4,0
100,Hard,10,1,9,4,0.1
101,Hard,10,0,10,2,0
102,Hard,10,0,10,5,0
103,Easy,10,6,4,1,0.6
104,Hard,10,2,8,6,0.2
105,Easy,10,8,2,2,0.8
106,Hard,10,4,6,4,0.4
107,Normal,10,3,7,4,0.3
108,Easy,10,4,6,3,0.4
109,Easy,10,5,5,3,0.5
110,Easy,10,6,4,3,0.6
111,Normal,10,6,4,4,0.6
112,Normal,10,3,7,5,0.3
113,Normal,10,3,7,1,0.3
114,Normal,10,5,5,3,0.5
115,Hard,10,4,6,2,0.4
116,Hard,10,3,7,2,0.3
117,Hard,10,3,7,5,0.3
118,Normal,10,4,6,3,0.4
119,Hard,10,2,8,3,0.2
120,Easy,10,6,4,2,0.6
121,Normal,10,4,6,3,0.4
122,Normal,10,3,7,3,0.3
123,Normal,10,5,5,3,0.5
124,Hard,10,1,9,5,0.1
125,Easy,10,7,3,3,0.7
126,Easy,10,5,5,1,0.5
127,Easy,10,8,2,1,0.8
128,Easy,10,8,2,2,0.8
129,Normal,10,4,6,5,0.4
130,Normal,10,5,5,1,0.5
131,Hard,10,2,8,6,0.2
132,Hard,10,0,10,4,0
133,Easy,10,8,2,3,0.8
134,Easy,10,6,4,3,0.6
135,Easy,10,5,5,2,0.5
136,Normal,10,6,4,3,0.6
137,Easy,10,8,2,1,0.8
138,Normal,10,3,7,4,0.3
139,Hard,10,3,7,4,0.3
140,Normal,10,2,8,3,0.2
141,Normal,10,3,7,1,0.3
142,Hard,10,2,8,4,0.2
143,Hard,10,2,8,6,0.2
144,Hard,10,4,6,3,0.4
145,Easy,10,8,2,0,0.8
146,Hard,10,3,7,6,0.3
147,Normal,10,2,8,2,0.2
148,Easy,10,5,5,2,0.5
149,Normal,10,4,6,1,0.4
150,Normal,10,4,6,5,0.4
