match_id,difficulty_level,shots,goals,saves,power_shot_count
1,Normal,10,2,8,2
2,Normal,10,4,6,5
3,Normal,10,5,5,5
4,Easy,10,8,2,1
5,Easy,10,8,2,0
6,Normal,10,5,5,1
7,Normal,10,6,4,2
8,Hard,10,4,6,2
9,Easy,10,5,5,2
10,Easy,10,4,6,0
11,Hard,10,1,9,3
12,Easy,10,6,4,3
13,Hard,10,2,8,2
14,Hard,10,4,6,6
15,Normal,10,2,8,3
16,Easy,10,8,2,3
17,Easy,10,8,2,0
18,Easy,10,7,3,3
19,Easy,10,6,4,3
20,Easy,10,7,3,0
21,Normal,10,6,4,5
22,Normal,10,4,6,4
23,Normal,10,3,7,2
24,Easy,10,4,6,3
25,Easy,10,5,5,2
26,Hard,10,0,10,2
27,Hard,10,1,9,4
28,Easy,10,4,6,3
29,Normal,10,4,6,5
30,Easy,10,8,2,3
31,Normal,10,6,4,1
32,Easy,10,8,2,1
33,Normal,10,2,8,1
34,Easy,10,5,5,2
35,Hard,10,3,7,3
36,Normal,10,5,5,5
37,Normal,10,4,6,2
38,Normal,10,3,7,5
39,Easy,10,5,5,1
40,Normal,10,3,7,4
41,Normal,10,2,8,2
42,Hard,10,0,10,4
43,Easy,10,4,6,1
44,Easy,10,4,6,0
45,Normal,10,4,6,2
46,Easy,10,7,3,3
47,Normal,10,6,4,4
48,Easy,10,6,4,0
49,Easy,10,4,6,0
50,Hard,10,2,8,4
51,Normal,10,5,5,5
52,Normal,10,2,8,2
53,Hard,10,0,10,2
54,Hard,10,0,10,6
55,Hard,10,3,7,3
56,Normal,10,5,5,1
57,Normal,10,2,8,1
58,Easy,10,5,5,0
59,Normal,10,6,4,5
60,Normal,10,4,6,3
61,Easy,10,8,2,2
62,Easy,10,5,5,0
63,Hard,10,2,8,5
64,Normal,10,2,8,3
65,Easy,10,5,5,3
66,Easy,10,8,2,3
67,Normal,10,3,7,3
68,Normal,10,4,6,4
69,Normal,10,6,4,1
70,Normal,10,4,6,1
71,Easy,10,7,3,3
72,Easy,10,6,4,1
73,Hard,10,4,6,5
74,Normal,10,4,6,2
75,Easy,10,6,4,0
76,Normal,10,2,8,1
77,Easy,10,5,5,2
78,Easy,10,7,3,2
79,Easy,10,6,4,3
80,Hard,10,1,9,6
81,Hard,10,0,10,2
82,Easy,10,7,3,2
83,Easy,10,7,3,1
84,Hard,10,1,9,4
85,Normal,10,6,4,3
86,Hard,10,3,7,3
87,Easy,10,7,3,2
88,Normal,10,2,8,4
89,Hard,10,0,10,2
90,Hard,10,3,7,6
91,Easy,10,8,2,0
92,Easy,10,7,3,1
93,Easy,10,5,5,1
94,Normal,10,2,8,1
95,Easy,10,8,2,0
96,Normal,10,3,7,3
97,Hard,10,2,8,4
98,Easy,10,7,3,3
99,Hard,10,0,10,4
100,Hard,10,1,9,4
101,Hard,10,0,10,2
102,Hard,10,0,10,5
103,Easy,10,6,4,1
104,Hard,10,2,8,6
105,Easy,10,8,2,2
106,Hard,10,4,6,4
107,Normal,10,3,7,4
108,Easy,10,4,6,3
109,Easy,10,5,5,3
110,Easy,10,6,4,3
111,Normal,10,6,4,4
112,Normal,10,3,7,5
113,Normal,10,3,7,1
114,Normal,10,5,5,3
115,Hard,10,4,6,2
116,Hard,10,3,7,2
117,Hard,10,3,7,5
118,Normal,10,4,6,3
119,Hard,10,2,8,3
120,Easy,10,6,4,2
121,Normal,10,4,6,3
122,Normal,10,3,7,3
123,Normal,10,5,5,3
124,Hard,10,1,9,5
125,Easy,10,7,3,3
126,Easy,10,5,5,1
127,Easy,10,8,2,1
128,Easy,10,8,2,2
129,Normal,10,4,6,5
130,Normal,10,5,5,1
131,Hard,10,2,8,6
132,Hard,10,0,10,4
133,Easy,10,8,2,3
134,Easy,10,6,4,3
135,Easy,10,5,5,2
136,Normal,10,6,4,3
137,Easy,10,8,2,1
138,Normal,10,3,7,4
139,Hard,10,3,7,4
140,Normal,10,2,8,3
141,Normal,10,3,7,1
142,Hard,10,2,8,4
143,Hard,10,2,8,6
144,Hard,10,4,6,3
145,Easy,10,8,2,0
146,Hard,10,3,7,6
147,Normal,10,2,8,2
148,Easy,10,5,5,2
149,Normal,10,4,6,1
150,Normal,10,4,6,5
151,Normal,4,1,3,3
152,Hard,10,0,9,10
